title,artist,genre,year,norm_title,norm_artist,genre_clean,file_path
Unforgettable (feat. Swae Lee),French Montana,Hip-Hop,2018,unforgettable,french montana,Hip Hop,
This Is Me,Keala Settle,pop,2018,this is me,keala settle,Pop,
KOD,J. Cole,Hip-Hop,2018,kod,j cole,Hip Hop,
In My Blood,Shawn Mendes,pop,2018,in my blood,shawn mendes,Pop,
PICK IT UP (feat. A$AP Rocky),Famous Dex,Hip-Hop,2018,pick it up,famous dex,Hip Hop,
I Don't Care,Ed Sheeran,pop,2019,i don t care,ed sheeran,Pop,
Pop Out (feat. Lil Tjay),Polo G,pop,2019,pop out,polo g,Pop,
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,pop,2019,me,taylor swift,Pop,
Psycho (feat. Ty Dolla $ign),Post Malone,Hip-Hop,2019,psycho,post malone,Hip Hop,
34+35,Ariana Grande,pop,2021,34 35,ariana grande,Pop,
C.H.R.I.S.Y.E.,Diskoria,pop,2021,c h r i s y e,diskoria,Pop,
Lose,NIKI,r&b,2021,lose,niki,R&B,
Lonely,Justin Bieber,pop,2021,lonely,justin bieber,Pop,
I Just Couldn't Save You Tonight (feat. Aurelie Moeremans) [Story of Kale - Original Motion Picture Soundtrack],Ardhito Pramono,pop,2021,i just couldn t save you tonight,ardhito pramono,Pop,
Know Me Too Well,New Hope Club,pop,2021,know me too well,new hope club,Pop,
Boy With Luv (feat. Halsey),BTS,pop,2021,boy,bts,Pop,
미래,Red Velvet,pop,2021,,red velvet,Pop,
Ku Kira Kau Rumah,Pendarra,indie,2021,ku kira kau rumah,pendarra,Indie,
C.H.R.I.S.Y.E.,Diskoria,pop,2022,c h r i s y e,diskoria,Pop,
DARARI,TREASURE,pop,2022,darari,treasure,Pop,
ONLY,LeeHi,r&b,2022,only,leehi,R&B,
Cinta Dan Rahasia (feat. Glenn Fredly),Yura Yunita,pop,2022,cinta dan rahasia,yura yunita,Pop,
W.H.U.T,Aisha Retno,pop,2022,w h u t,aisha retno,Pop,
Ditto,NewJeans,pop,2023,ditto,newjeans,Pop,
OMG,NewJeans,pop,2023,omg,newjeans,Pop,
Somebody's Pleasure,Aziz Hedra,pop,2023,somebody s pleasure,aziz hedra,Pop,
Anything You Want,Reality Club,indie,2023,anything you want,reality club,Indie,
Those Eyes,New West,folk,2023,those eyes,new west,Folk,
FLOWER,JISOO,pop,2023,flower,jisoo,Pop,
Cinta Dan Rahasia (feat. Glenn Fredly),Yura Yunita,pop,2023,cinta dan rahasia,yura yunita,Pop,
